Model Combination,RMSE OffsetX,RMSE OffsetY,RMSE Volume,MAE OffsetX,MAE OffsetY,MAE Volume
Bilateral + ANN,5.5807,6.1157,5.8639,4.3975,4.7343,4.4786
Bilateral + DTR,3.564,3.8846,3.6833,2.7549,2.9721,2.7872
Bilateral + SVR,7.9063,9.398,6.8897,6.3088,7.2931,5.1886
DTCWT + ANN,5.6162,6.1842,5.8474,4.4257,4.8109,4.4561
DTCWT + DTR,4.4457,4.7909,4.3572,3.4538,3.6887,3.2796
DTCWT + SVR,7.9007,9.3859,6.8811,6.3066,7.2909,5.1873
Gaussian + ANN,5.5803,6.1806,5.9527,4.4087,4.7978,4.5401
Gaussian + DTR,3.7477,4.0546,3.7724,2.8874,3.0991,2.8285
Gaussian + SVR,7.9039,9.3913,6.8875,6.3075,7.292,5.1882
Median + ANN,5.6833,6.0704,5.849,4.4762,4.7164,4.4573
Median + DTR,4.0946,4.4317,4.3895,2.9224,3.1269,3.0168
Median + SVR,7.904,9.3888,6.8836,6.307,7.291,5.1879
Multivariate + ANN,5.4898,6.0508,5.8943,4.3355,4.6952,4.4912
Multivariate + DTR,3.4651,3.7755,3.548,2.6718,2.8814,2.6777
Multivariate + SVR,7.9052,9.3898,6.8882,6.3075,7.292,5.1881
Savitzky-Golay + ANN,5.8335,6.0061,5.8949,4.6261,4.6564,4.4898
Savitzky-Golay + DTR,3.7443,4.1115,3.9364,2.8981,3.1399,2.996
Savitzky-Golay + SVR,7.9085,9.3962,6.8906,6.3086,7.2933,5.1886
