Filter + Model,Model,RMSE X,RMSE Y,RMSE Volume,MAE X,MAE Y,MAE Volume
DTCWT + Bilateral,DTR,3.531772,3.859028,3.667762,2.729022,2.948271,2.776084
DTCWT + Gaussian,DTR,3.77717,4.099107,3.818528,2.918604,3.139613,2.874029
DTCWT + Median,DTR,4.276956,4.623019,4.225402,3.31396,3.546011,3.174201
DTCWT + Multivariate,DTR,3.469284,3.786472,3.590935,2.678676,2.8928,2.71248
DTCWT + Savitzky-Golay,DTR,3.730837,4.090557,3.897161,2.88745,3.123546,2.966612
DTCWT + Bilateral,SVR,0.804924,0.38582,0.84003,0.645018,0.299732,0.620134
DTCWT + Gaussian,SVR,0.809186,0.391201,0.847613,0.648167,0.303763,0.62849
DTCWT + Median,SVR,0.815022,0.396292,0.853232,0.652104,0.307988,0.635333
DTCWT + Multivariate,SVR,0.806419,0.387887,0.843932,0.645995,0.301342,0.623838
DTCWT + Savitzky-Golay,SVR,0.804519,0.385782,0.837915,0.644999,0.299464,0.617852
DTCWT + Bilateral,ANN,0.254026,0.128398,0.419616,0.198799,0.099476,0.315408
DTCWT + Gaussian,ANN,0.290186,0.140737,0.456065,0.227281,0.109642,0.346343
DTCWT + Median,ANN,0.326568,0.160317,0.488681,0.255435,0.125064,0.373315
DTCWT + Multivariate,ANN,0.265455,0.132661,0.433538,0.208834,0.103143,0.328047
DTCWT + Savitzky-Golay,ANN,0.246714,0.124212,0.399829,0.192595,0.094822,0.301028
